jobtitle|company|city|state|date|snippet|url|latitude|longitude|formattedRelativeTime
Quantitative Data Analyst|Workiva Inc.|Seattle|WA|Thu, 14 Jan 2016 18:23:01 GMT|Work with large, complex data sets. Research responsibilities will include exploratory data analysis, data visualization, and developing measurement metrics to...|http://www.indeed.com/viewjob?jk=7360fb06fed67e50&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|47.604397|-122.32967|1 day ago
Data Analyst|ADURO|Redmond|WA|Tue, 12 Jan 2016 23:27:58 GMT|Develop tools &amp; methods to ensure data accuracy and proactively catch data issues. Collaborate with Data &amp; Analytics team members to solve internal data and...|http://www.indeed.com/viewjob?jk=108f4e155d485c4f&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|47.68132|-122.12088|3 days ago
Healthcare Data Analyst|NAVEOS|Sterling|VA|Thu, 14 Jan 2016 00:43:17 GMT|Use data analysis skills to design new reports and identify data opportunities. 1+ years of strong programming experience using R, Python or SQL to perform data...|http://www.indeed.com/viewjob?jk=76373fb639aa02f0&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|39.03421|-77.40139|2 days ago
International Data Analyst|Braintree|Chicago|IL|Tue, 12 Jan 2016 02:05:18 GMT|We are seeking a multi-disciplined, technical data analyst to support our International Business Development team....|http://www.indeed.com/viewjob?jk=53b1f5fbaf2fc802&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|41.8489|-87.64835|4 days ago
Sr. Manager, Data Analytics|Vubiquity, Inc|Sherman Oaks|CA|Sun, 10 Jan 2016 10:00:33 GMT|Responsible for data cleansing and ensuring data integrity across multiple data types. Research data anomalies....|http://www.indeed.com/viewjob?jk=ffa645495d7260c4&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|34.1511|-118.44505|5 days ago
Data Analyst|Astreya|Santa Clara|CA|Thu, 07 Jan 2016 12:47:30 GMT|Understanding of Python scripting language a plus. Expanding Business Intelligence team and support our client’s data....|http://www.indeed.com/viewjob?jk=b35f1cc997b4d498&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|37.39043|-121.97259|8 days ago
Data Sciences Analyst|Novu|Minneapolis|MN|Fri, 08 Jan 2016 23:22:45 GMT|Knowledge of traditional data warehousing as well as knowledge of unstructured data technologies. You should have experience using data to address actual...|http://www.indeed.com/viewjob?jk=08fdff2bbfced414&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|44.966557|-93.345245|7 days ago
Data Analyst|BrightScope|San Diego|CA|Wed, 13 Jan 2016 04:06:08 GMT|Performing data analysis and/or data control. Repetitive data entry. Light programming skills, preferably using Python....|http://www.indeed.com/viewjob?jk=bad897a8a6685d11&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|32.714287|-117.15385|3 days ago
Business Intelligence Analyst|GoDaddy|Sunnyvale|CA|Wed, 13 Jan 2016 16:04:20 GMT|Use data to tell a story. Development experience in at least one programming language (PHP, Python, .NET, Ruby, JavaScript, etc.)....|http://www.indeed.com/viewjob?jk=19272c642aa9d3bf&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|37.368134|-122.03297|2 days ago
Product Data Analyst|Braintree|Chicago|IL|Wed, 13 Jan 2016 18:17:38 GMT|Analyze data + trends to optimize 3rd-party integrations. We also analyze and maintain 3rd-party integrations that rely heavily on our data and we respond to...|http://www.indeed.com/viewjob?jk=b470a2e7521993c3&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|41.8489|-87.64835|2 days ago
Data Analyst|AmTrust North America|Jersey City|NJ|Sat, 10 Oct 2015 10:22:08 GMT|Data Analyst must be comfortable leading internal data meetings, presenting and defending analysis findings to key stakeholders, and participating on client...|http://www.indeed.com/viewjob?jk=8451cf8db8f200c0&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|40.71978|-74.04395|30+ days ago
Data Scientist|Plexuss.com|Walnut Creek|CA|Fri, 15 Jan 2016 23:16:59 GMT|Proficiency with R, Excel, Python or other data analysis packages. We are looking for a Data Analyst who will work with our growing Sales and Client Relations...|http://www.indeed.com/viewjob?jk=89e063016750e349&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|37.903847|-122.06044|5 hours ago
Data Analyst 2|Stanford University|Stanford|CA|Tue, 12 Jan 2016 02:03:28 GMT|Common data elements for data collection. As a Data Analyst at the Financial Management Services (FMS). Identify new sources of data and methods to improve data...|http://www.indeed.com/viewjob?jk=340603a6bef8fa74&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|37.423077|-122.16483|4 days ago
Data Analyst|Robert Half Technology|Franklin|TN|Fri, 15 Jan 2016 03:35:04 GMT|2+ years of Data Analysis experience. Experience with healthcare member or claims data. Experience with VB.Net, Python, C#, or other object oriented programming...|http://www.indeed.com/viewjob?jk=c9ac82bf8cd46e75&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|35.925823|-86.8022|1 day ago
